country,station,ds,y,elevation,coord,lat,lon
Algeria,Bordj Badj Mokhtar,2008-08-01,34.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2008-09-01,34.95,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2008-10-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2008-11-01,23.5,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2008-12-01,17.5,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2009-01-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2009-02-01,21,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2009-03-01,26.99,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2009-04-01,27.65,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2009-05-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2009-06-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2009-07-01,37,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2009-08-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2009-09-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,2009-10-01,,399,"0.95 E, 21.333 N",0.95,21.333
